State,Obesity_Men,Obesity_Women,Anaemia_Children,Anaemia_Women,BloodSugar_Men,BloodSugar_Women,Hypertension_Men,Hypertension_Women,Gender_Obesity_Gap
Andaman & Nicobar Islands,45.3,38.1,40.0,57.5,17.9,17.5,30.2,25.3,-7.199999999999996
Andhra Pradesh,31.1,36.3,63.2,58.8,21.8,19.5,29.0,25.3,5.199999999999996
Arunachal Pradesh,27.6,23.9,56.6,40.3,11.9,8.4,33.1,24.9,-3.700000000000003
Assam,16.2,15.2,68.4,65.9,16.0,12.8,20.3,19.1,-1.0
Bihar,14.7,15.9,69.4,63.5,16.2,12.7,18.4,15.9,1.200000000000001
Chandigarh,34.4,44.0,54.6,60.3,16.6,19.0,30.6,25.0,9.600000000000001
Chhattisgarh,14.9,14.1,67.2,60.8,10.8,9.0,27.7,23.6,-0.8000000000000007
Dadra & Nagar Haveli and Daman & Diu,21.4,26.8,75.8,62.5,16.4,13.6,15.4,14.9,5.400000000000002
Goa,32.6,36.1,53.2,39.0,24.1,20.8,26.8,27.5,3.5
Gujarat,19.9,22.6,79.7,65.0,16.9,15.8,20.3,20.6,2.700000000000003
Haryana,28.3,33.1,70.4,60.4,13.5,11.9,25.1,21.0,4.800000000000001
Himachal Pradesh,30.6,30.4,55.4,53.0,14.7,13.9,24.4,22.2,-0.20000000000000284
India,22.9,24.0,67.1,57.0,15.6,13.5,24.0,21.3,1.1000000000000014
Jammu & Kashmir,31.6,29.3,72.7,65.9,8.0,8.7,18.9,20.0,-2.3000000000000007
Jharkhand,15.1,11.9,67.5,65.3,14.1,10.2,22.6,17.8,-3.1999999999999993
Karnataka,30.9,30.1,65.5,47.8,15.6,14.0,26.9,25.0,-0.7999999999999972
Kerala,36.4,38.1,39.4,36.3,27.0,24.8,32.8,30.9,1.7000000000000028
Ladakh,37.8,28.3,92.5,92.8,8.3,6.7,17.4,15.7,-9.499999999999996
Lakshadweep,41.3,33.5,43.1,25.8,20.7,19.5,24.7,24.8,-7.799999999999997
Madhya Pradesh,15.6,16.6,72.7,54.7,12.2,9.8,22.7,20.6,1.0000000000000018
Maharashtra,24.7,23.4,68.9,54.2,13.6,12.4,24.4,23.1,-1.3000000000000007
Manipur,30.3,34.1,42.8,29.4,16.5,13.6,33.2,23.0,3.8000000000000007
Meghalaya,13.9,11.5,45.1,53.8,13.9,9.5,21.4,18.7,-2.4000000000000004
Mizoram,31.9,24.2,46.4,34.8,15.4,13.8,25.2,17.7,-7.699999999999999
NCT Delhi,38.0,41.3,69.2,49.9,14.1,12.2,32.8,24.1,3.299999999999997
Nagaland,23.9,14.4,42.7,28.9,12.4,9.3,28.7,22.4,-9.499999999999998
Odisha,22.2,23.0,64.2,64.3,17.0,14.0,25.6,22.4,0.8000000000000007
Puducherry,43.3,46.2,64.0,55.1,21.7,20.1,30.1,23.0,2.9000000000000057
Punjab,32.2,40.8,71.1,58.7,14.1,14.7,37.7,31.2,8.599999999999994
Rajasthan,15.0,12.9,71.5,54.4,8.9,7.2,17.9,15.4,-2.0999999999999996
Sikkim,36.3,34.7,56.4,42.1,15.7,12.2,41.6,34.5,-1.5999999999999943
Tamil Nadu,37.0,40.4,57.4,53.4,22.1,20.7,30.2,24.8,3.3999999999999986
Telangana,32.3,30.1,70.0,57.6,18.1,14.7,31.4,26.1,-2.1999999999999957
Tripura,23.4,21.5,64.3,67.2,19.3,17.7,22.7,20.9,-1.8999999999999986
Uttar Pradesh,18.5,21.3,66.4,50.4,11.6,10.0,21.7,18.4,2.8000000000000007
Uttarakhand,27.1,29.7,58.8,42.6,14.3,10.8,31.8,22.9,2.599999999999998
West Bengal,16.2,22.7,69.0,71.4,21.3,17.5,20.1,20.5,6.5
